network,station_code,label,active,lon,lat,elevation,station_type
IMIS,KLT2,Schijen,False,8.996357,47.054146,1930,SNOW_FLAT
IMIS,KLT3,"Ruoggis, Unter Stafel",True,8.969210,47.030620,1258,SNOW_FLAT
IMIS,KLT4,Schiiterböden,True,8.986597,47.047208,1745,SNOW_FLAT
IMIS,LAG1,Lagrev,True,9.733082,46.448891,3085,WIND
IMIS,LAG2,Tscheppa,True,9.744580,46.451357,2730,SNOW_FLAT
IMIS,LAG3,Materdell,True,9.697772,46.424527,2300,SNOW_FLAT
IMIS,LAG4,Segl,False,9.759671,46.438900,1925,SNOW_SLOPE
IMIS,LAU1,Lauenehore,True,7.354504,46.440208,2476,WIND
IMIS,LAU2,Trüttlisbergpass,True,7.379867,46.426029,1970,SNOW_FLAT
IMIS,LAV1,Gonda Cotschna,True,10.112328,46.784326,2405,FLOWCAPT
IMIS,LHO2,Russisprung,True,7.943742,46.582791,2150,SNOW_FLAT
IMIS,LHO3,Lauberhorn,False,7.942955,46.589253,2190,FLOWCAPT
IMIS,LUK1,Piz Gannaretsch,True,8.786547,46.611909,3040,WIND
IMIS,LUK2,Lai Verd,True,8.783521,46.604153,2555,SNOW_FLAT
IMIS,LUM2,Lumpegna Süd,True,8.861690,46.731180,2365,SNOW_SLOPE
IMIS,LUM3,Lumpegna Nord,True,8.862570,46.732280,2355,SNOW_SLOPE
IMIS,MAE2,Itramen,True,7.943542,46.618649,2162,SNOW_FLAT
IMIS,MAN1,Männlichen,True,7.938067,46.618115,2341,WIND
IMIS,MEI2,Laucheren,True,8.551014,46.743768,2220,SNOW_FLAT
IMIS,MES1,Piz Pian Grand,True,9.155697,46.417482,2688,WIND
IMIS,MES2,Pian Grand,True,9.160297,46.414011,2384,SNOW_FLAT
IMIS,MLB1,Spitz,True,9.623993,47.086761,2186,WIND
IMIS,MLB2,Bärgtälli,True,9.611770,47.088468,1974,SNOW_FLAT
IMIS,MTR2,Predanass,True,8.917591,46.408726,1884,SNOW_FLAT
IMIS,MUN1,Gärsthorn,True,7.916701,46.343827,2926,WIND
IMIS,MUN2,Chiematte,True,7.925203,46.333068,2205,SNOW_FLAT
IMIS,MUO1,Wasserbergfirst,True,8.786853,46.939350,2325,WIND
IMIS,MUO2,Rupperslaui,True,8.745621,46.938217,2083,SNOW_FLAT
IMIS,MUT1,Ruchi,True,9.045080,46.863574,3103,WIND
IMIS,MUT2,Mutten,True,9.017484,46.858758,2481,SNOW_FLAT
IMIS,NAR1,Motto Crostel,True,8.866917,46.465104,2299,WIND
IMIS,NAR2,Bassa di Nara,True,8.868636,46.472991,2077,SNOW_FLAT
IMIS,NAS2,Schlivèra,True,10.255321,46.815038,2350,SNOW_FLAT
IMIS,NEN1,Creppon Blanc,True,7.354023,46.143128,2713,WIND
IMIS,NEN2,Essertse,False,7.365251,46.156305,2325,SNOW_FLAT
IMIS,NEN3,Combatzeline,True,7.335297,46.143184,2203,SNOW_FLAT
IMIS,OBM2,Obere Meiel,True,7.214386,46.421773,2097,SNOW_FLAT
IMIS,OBW1,Sidelhorn,True,8.308415,46.549849,2733,WIND
IMIS,OBW2,Jostsee,True,8.315956,46.545221,2432,SNOW_FLAT
IMIS,OBW3,Mällige,True,8.354478,46.507862,2194,SNOW_FLAT
IMIS,OFE1,Piz Dora,True,10.306127,46.605056,2949,WIND
IMIS,OFE2,Murtaröl,True,10.289051,46.631706,2359,SNOW_FLAT
IMIS,ORT2,Ortstock Matt,True,8.958550,46.918082,1824,SNOW_FLAT
IMIS,OTT2,Ottere,True,7.561637,46.539702,2017,SNOW_FLAT
IMIS,OUJ1,"Oujet de Mille, Windstation",False,7.215945,46.012179,2640,WIND
IMIS,OUJ2,"Oujet de Mille, Schneestation",False,7.212719,46.011723,2530,SNOW_FLAT
IMIS,PAR2,Kreuzweg,True,9.804844,46.851725,2290,SNOW_FLAT
IMIS,PLD2,Primelod,True,7.250623,46.426355,2050,FLOWCAPT
IMIS,PMA2,Colms da Parsonz,True,9.537387,46.580076,2429,SNOW_FLAT
IMIS,PON2,Teststation Poncionetto,False,8.496418,46.525630,2305,SNOW_FLAT
IMIS,PUZ1,La Muota,True,8.856811,46.623273,2425,WIND
IMIS,PUZ2,Ils Plauns,True,8.862455,46.626351,2196,SNOW_FLAT
IMIS,REV2,Revolte,False,9.073966,46.128679,1926,SNOW_FLAT
IMIS,RGS2,"Ruoggis, Ober Stafel",False,8.974264,47.037494,1578,SNOW_FLAT
IMIS,RNZ2,Rienzenstock,False,8.626788,46.685570,2400,SNOW_FLAT
IMIS,RNZ3,Rienzenstock,True,8.625968,46.684788,2390,SNOW_FLAT
IMIS,ROA1,Brienzer Rothorn,True,8.046917,46.787120,2348,WIND
IMIS,ROA2,Rotschalp,True,7.993941,46.774319,1875,SNOW_FLAT
IMIS,ROA4,Tanngrindel,False,8.009154,46.775387,1837,SNOW_SLOPE
IMIS,ROT2,Totälpli,False,9.598804,46.746693,2700,SNOW_FLAT
IMIS,ROT3,Plang Bi,True,9.604385,46.733116,2495,SNOW_FLAT
IMIS,SAA1,Platthorn,True,7.861273,46.166345,3245,WIND
IMIS,SAA2,Seetal,True,7.879353,46.171835,2480,SNOW_FLAT
IMIS,SAA3,Schwarzmies,False,7.973755,46.123822,2804,SNOW_FLAT
IMIS,SAA4,Gibidum,True,7.905531,46.124467,2680,SNOW_FLAT
IMIS,SAA5,Mälliga,True,7.981385,46.127483,2952,SNOW_FLAT
IMIS,SCA1,Gross Windgällen,True,8.732132,46.807255,3187,WIND
IMIS,SCA2,Seewli,True,8.717343,46.812955,2032,SNOW_FLAT
IMIS,SCA3,Alpler Tor,True,8.779539,46.891538,2338,SNOW_FLAT
IMIS,SCB2,Schönbüel,True,8.103438,46.779375,1777,SNOW_FLAT
IMIS,SCH1,Schilthorn,True,7.835202,46.557313,2996,WIND
IMIS,SCH2,Türliboden,True,7.834732,46.576916,2332,SNOW_FLAT
IMIS,SHE2,Schibe,True,7.812449,46.748825,1852,SNOW_FLAT
IMIS,SIM1,Cima del Simano,True,8.971946,46.462510,2579,WIND
IMIS,SIM2,Piano del Simano,True,8.980823,46.467455,2450,SNOW_FLAT
IMIS,SLF2,Davos Stilli (SLF),True,9.848265,46.812767,1563,SNOW_FLAT
IMIS,SMN1,Piz Alpetta,False,10.448912,46.928619,2975,WIND
IMIS,SMN2,Ravaischer Salaas,True,10.338340,46.956380,2512,SNOW_FLAT
IMIS,SPN1,Chesselhorn,True,8.081379,46.218276,2980,WIND
IMIS,SPN2,Ze Seewe,True,8.117624,46.229444,2620,SNOW_FLAT
IMIS,SPN3,Wenghorn,True,8.045175,46.178012,2424,SNOW_FLAT
